chamber_id,recipe_id,step,sensor_window,sensor_id,n_wafers,n_used,center,sigma,ucl,lcl,cv,sample_min,sample_max,n_distinct,false_alarm_pct,qa_flags,limit_version,trigger_type,calc_window_n,k_sigma,q_low,q_high,q_lcl,q_ucl,created_at
C24_0,C6_0,6,settled,D_VDC_RES,6814,6690,335.7764227642276,1.5510214716276476,340.42948717911054,331.1233583493447,0.0046,333.0,339.5,20,0.176,,v1,initial,6690,3.0,0.00135,0.99865,331.0,340.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,7,settled,C11,6814,6814,-1.099,0.26281312849566896,0.401,-2.599,0.2391,-2.0,-1.0,3,0.0,deadband_floored;wide_limits,v1,initial,6814,3.0,0.00135,0.99865,-2.5,0.5,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,7,settled,C15,6814,6814,23.0,0.0,23.0,23.0,0.0,23.0,23.0,1,0.0,zero_sigma,v1,initial,6814,3.0,0.00135,0.99865,23.0,23.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,7,settled,C16,6814,6814,235.0,0.0,235.0,235.0,0.0,235.0,235.0,1,0.0,zero_sigma,v1,initial,6814,3.0,0.00135,0.99865,235.0,235.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,7,settled,C17,6814,6766,104.29614604462475,5.995147194700815,122.2815876287272,86.3107044605223,0.0575,93.0,116.5,53,0.0,,v1,initial,6766,3.0,0.00135,0.99865,92.5,117.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,7,settled,C31,6814,6814,0.0,0.0,0.0,0.0,,0.0,0.0,1,0.0,zero_sigma,v1,initial,6814,3.0,0.00135,0.99865,0.0,0.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,7,settled,C32,6814,6814,0.0,0.0,0.0,0.0,,0.0,0.0,1,0.0,zero_sigma,v1,initial,6814,3.0,0.00135,0.99865,0.0,0.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,7,settled,C57,6814,6814,11.0,0.0,11.0,11.0,0.0,11.0,11.0,1,0.0,zero_sigma,v1,initial,6814,3.0,0.00135,0.99865,11.0,11.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,7,settled,C58,6814,6814,11.987549999999999,0.004892708755962805,12.002549999999996,11.972550000000002,0.0004,11.98,12.0,5,0.0,deadband_floored,v1,initial,6814,3.0,0.00135,0.99865,11.975000000000003,12.004999999999997,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,7,settled,C61,6814,6686,-247.77244897959184,4.320930077623367,-234.80965874672174,-260.7352392124619,0.0174,-253.0,-233.5,57,2.245,high_false_alarm,v1,initial,6686,3.0,0.00135,0.99865,-257.0,-231.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,7,settled,C62,6814,6692,-3657.836048879837,5.175475743348777,-3642.3096216497906,-3673.3624761098836,0.0014,-3670.5,-3645.0,73,0.47,,v1,initial,6692,3.0,0.00135,0.99865,-3675.0,-3642.5,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,7,settled,C63,6814,6814,688.8,99.75053852790501,1288.8,88.79999999999995,0.1448,600.0,800.0,2,0.0,deadband_floored,v1,initial,6814,3.0,0.00135,0.99865,0.0,1200.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,7,settled,C9,6814,6735,10.293342741935483,3.2536114236455136,20.054177012872024,0.5325084709989412,0.3161,5.7479999999999976,16.057,517,0.0,,v1,initial,6735,3.0,0.00135,0.99865,5.6850000000000005,16.1195,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,7,settled,D_VDC_RES,6814,6760,335.8871951219512,1.5739844837174737,340.60914857310365,331.16524167079876,0.0047,333.0,340.0,23,0.176,,v1,initial,6760,3.0,0.00135,0.99865,331.0,340.0,2026-08-06T09:04:36.205914+00:00
