wafer,chamber,C6,t,seg,in_val,ae_raw,ae_score,ewma,ae_drift_score,z,anom_z,anom_band,drift_pts,score_ae_z,score_ae_band,score_ae_sum
C64_509,C24_0,C6_0,1543601749.3,seg1,False,45.61545100384761,0.0584483747324119,0.037842962018178605,0.0,-0.04240475944959217,0,0,0,0,0,0
C64_518,C24_0,C6_0,1543601863.4,seg1,False,83.25822831143604,0.0949536432820964,0.0406984960813745,0.0,0.9007155109734271,0,0,0,0,0,0
C64_514,C24_0,C6_0,1543601977.4,seg1,False,23.066401686644628,0.0,0.03866357127730577,0.0,-0.6073595000642108,0,0,0,0,0,0
C64_513,C24_0,C6_0,1543602091.5,seg1,False,17.519856137043195,0.0,0.03673039271344048,0.0,-0.7463253233324946,0,0,0,0,0,0
C64_519,C24_0,C6_0,1543602205.5,seg1,False,65.70523079103789,0.0779310712466131,0.038790426640099115,0.0,0.4609342580414007,0,0,0,0,0,0
C64_512,C24_0,C6_0,1543602319.5,seg1,False,21.65584559302777,0.0,0.03685090530809416,0.0,-0.6427002517199232,0,0,0,0,0,0
C64_511,C24_0,C6_0,1543602433.7,seg1,False,44.73586095154112,0.0575953645835937,0.03788812827186914,0.0,-0.06444243220721474,0,0,0,0,0,0
C64_510,C24_0,C6_0,1543602544.7,seg1,False,82.98290057566169,0.0946866355411029,0.04072805363533082,0.0,0.8938173172908339,0,0,0,0,0,0
C64_520,C24_0,C6_0,1543602658.7,seg1,False,73.6178353752742,0.0856045686858358,0.042971879387856064,0.0,0.6591804637944227,0,0,0,0,0,0
C64_491,C24_0,C6_0,1543609939.3,seg1,False,37.5874818072681,0.0506629988278914,0.04335643535985783,0.0,-0.24354136575678478,0,0,0,0,0,0
C64_484,C24_0,C6_0,1543610068.3,seg1,False,36.94966690614874,0.0500444577446952,0.0436908364790997,0.0,-0.25952148744409326,0,0,0,0,0,0
C64_492,C24_0,C6_0,1543610182.4,seg1,False,47.26293769772478,0.0600460768281044,0.044508598496549936,0.0,-0.0011278344354929814,0,0,0,0,0,0
C64_490,C24_0,C6_0,1543610296.4,seg1,False,16.90353770333196,0.0,0.042283168571722436,0.0,-0.761766862173234,0,0,0,0,0,0
